,patient1,patient2,patient3,patient4,patient5,patient6,patient7,patient8,patient9,patient10,patient11,patient12,patient13,patient14,patient15,patient16,patient17,patient18,patient19,patient20,patient21,patient22,patient23,patient24,patient25,patient26,patient27,patient28,patient29,patient30,patient31,patient32,patient33,patient34,patient35,patient36,patient37,patient38,patient39,patient40,patient41,patient42,patient43,patient44,patient45,patient46,patient47,patient48,date
0,-0.03309391766491075,-0.31155740589199465,-0.07276611357848689,-0.09020691083542282,-0.18682498239359932,-0.054839678423841326,-0.33593406115155094,0.050478975865621924,-0.00777005322042159,-0.01927294862913735,0.11043013056898682,0.3615143569192917,-0.09128077625907499,-0.04397656634056485,-0.4273659134525414,-0.06849366140733909,0.029223343099133686,-0.01884962931510671,-0.23242183700790275,-0.02149987770772066,0.06253207346955829,0.06380190945959163,0.006853582657931581,-0.13574610000430207,-0.08861957892558986,-0.15537592733971017,0.013890568143317822,1.2181425750641153,-0.1194575460346506,-0.06195576269093195,0.09073516839136035,0.349080571008495,-0.04376482253024263,-0.019617739274903,0.094355415324394,0.006612243099015563,-0.21772830733374893,-0.13035591950549158,-0.33884414652063793,-0.061137253982883374,-0.3444676780825371,0.08425316268575415,-0.26684723520938675,0.036474242035878346,-0.13070313225932323,-0.3326853347587629,1.503076026286599,0.006285998355607163,1
1,-0.0363514296161106,-0.2619025695382792,-0.06763047193775854,-0.08978607694444313,-0.18332508647998816,-0.06204744870485024,-0.32831334350027036,0.05759956727720785,-0.006013701268015786,-0.01453268792348271,0.11193253612936033,0.34035064543947624,-0.09234751616393921,-0.04413713530170968,-0.44681384019050985,-0.09264064506054072,0.026004318299420237,-0.0340731589962604,-0.23200369756452227,-0.022571815564082887,0.06085963433234903,0.061516240159340124,0.007333897699089265,-0.13481817068620142,-0.09252745841340942,-0.1602273403573206,0.01504299739530477,1.3763354084997885,-0.12055719086199011,-0.0559208569022385,0.0937050895275056,0.3535589545374031,-0.044188559459132075,-0.014994114958712883,0.08800565409895397,0.007912470128054627,-0.21869429276448007,-0.1263120582338142,-0.3419027538730587,-0.061757274036606705,-0.33830989435695813,0.08301361241885831,-0.2600802744862181,-0.03385292080771252,-0.13362813921620126,-0.32503420547523637,1.3645045268487137,0.006973217860307565,2
2,-0.03771973847117329,-0.19859443909204877,-0.06151067627690564,-0.08830660354116843,-0.18267865482858112,-0.060954588137005355,-0.3192747851834718,0.06221532629782931,-0.0049057178786817285,-0.005785927092620144,0.11771720741646519,0.3141845345521649,-0.09407966153859182,-0.045244677362110575,-0.47061821224294775,-0.11314687019159045,0.023179701499285554,-0.04269708764595816,-0.2311540494521066,-0.022802206518085566,0.05773570681224189,0.06451215704134047,0.006463706115591557,-0.13281320560702894,-0.09971677232823323,-0.1596737597597132,0.012204086614499933,1.5095181295955842,-0.11886802514792719,-0.049385820213231346,0.09646129534077866,0.35853704911259465,-0.04940370491996462,-0.012989940021938907,0.08232179757784908,0.008646242652516456,-0.2155516446150624,-0.12303559823650594,-0.34526307683035135,-0.0619339751540668,-0.3330683720028145,0.07935982587038268,-0.2551667347357105,-0.07399899078545086,-0.13505673622913317,-0.31121546744295153,1.1359807962473032,0.0084348215290809,3
3,-0.03801838492315296,-0.12063000389442058,-0.05545479217407769,-0.08620494925314878,-0.17873976378977463,-0.054356900722674656,-0.3110121889388445,0.06644425574265271,-0.00390896842657977,0.0045663802489396,0.12737708830048755,0.284857401222167,-0.0950922803142194,-0.04855636542320543,-0.4919663351255673,-0.12847472525107628,0.020717358219144305,-0.040889275102834924,-0.22850551171700556,-0.021159112637715888,0.05385076523587129,0.06515535793977215,0.005162039888007383,-0.12891289121750793,-0.10900528920106073,-0.14809728080216372,0.00930220151819127,1.6074778717835985,-0.11534735403519485,-0.04389609791388488,0.09917038843569315,0.36487546694322376,-0.05842706171323035,-0.012348332379106493,0.07664470280426189,0.010118281980851823,-0.21064313592864015,-0.11986182881835468,-0.34698657003132294,-0.05716396924773495,-0.32625547846052805,0.07526733421859198,-0.2525174135187596,-0.09302074946360378,-0.1333071784163241,-0.2887911770368895,0.8848477177267159,0.010208695820224122,4
4,-0.038359392246109805,-0.028921297539202584,-0.05012678500216453,-0.08382890965163081,-0.16785972891520254,-0.04820544830541573,-0.3021173949970271,0.07100034690744293,-0.0016836794202975541,0.014708292414779223,0.13726008262556977,0.25597888281248077,-0.09434934253864743,-0.05406039188403866,-0.5075074152181344,-0.14021882581604372,0.01869988627920756,-0.03996321741294459,-0.22610088927792366,-0.02019243102733398,0.04972423681486805,0.05511838826698709,0.005997565073241416,-0.12244632523142804,-0.11365631269281234,-0.12386632137142285,0.00490759664347022,1.6655737747704813,-0.11085018724309845,-0.0410783124947528,0.1017699339052191,0.37250139943087923,-0.07129635419552442,-0.01557157553243943,0.06997437683019411,0.010733955650622268,-0.20479626542096233,-0.1157903233208317,-0.34803662459118445,-0.05283152562050708,-0.3189490643647759,0.07310739807490603,-0.25146422593447837,-0.10290511196503604,-0.13026157308753522,-0.2580872745127186,0.668212544856846,0.011928652871700501,5
5,-0.04131919970736396,0.07500252759508597,-0.04588014493052496,-0.08256611688228258,-0.1516247245602087,-0.04334973091670613,-0.2932323298480717,0.07770396520701092,0.0016008720978645669,0.022950580346367114,0.14561946764966527,0.2274692725535885,-0.09234772760465373,-0.05767287105465577,-0.5179329544994378,-0.15061869506075842,0.016559237357715015,-0.05274415243040767,-0.22380994732569054,-0.020415287319573594,0.04650932465426026,0.03697993706047403,0.007767671520736805,-0.1159447922875333,-0.11250965770086074,-0.08667145035441313,-0.0024747219243876004,1.6830374273656146,-0.10568873520821365,-0.04006868283205911,0.1063819161083265,0.3804687512529383,-0.08363377868848544,-0.023041312528899405,0.06267917310928096,0.009564062486957903,-0.19931483558667765,-0.11016569639545297,-0.34941091192851814,-0.05594409105838219,-0.31589865936949557,0.07111299843087794,-0.24931559777421497,-0.11017090191742246,-0.13049436388547936,-0.22459847799945332,0.5125545828253465,0.013677446132245114,6
6,-0.04363678086910988,0.1811536922949153,-0.04347394287859381,-0.08248158576290221,-0.13384594193536736,-0.040880873561929834,-0.2856135249168413,0.0868512726656144,0.004315576802155038,0.028036060015205325,0.1524701035290556,0.19621213901300158,-0.08948750583198162,-0.05718627758538483,-0.5241410832348673,-0.15895043822301985,0.013848402827228476,-0.07311693382651197,-0.22160882349194228,-0.019745515515652345,0.04546783392358755,0.01792277929128347,0.009745215085349847,-0.11239952860336255,-0.11109004640859321,-0.038587202487076123,-0.009321888446556556,1.6605925566363593,-0.10263833603682121,-0.04069390767967998,0.11611674818070576,0.3892028843635543,-0.09134951269607887,-0.030687424687809495,0.055101650173542946,0.009129925080276047,-0.19607086332794058,-0.10463715515361041,-0.34970375693781447,-0.0649033446702235,-0.3204757777804622,0.06732982399239501,-0.2451727117302917,-0.1147131904011503,-0.13671859928265243,-0.19272004898212572,0.40456143876742084,0.014133035496048225,7
7,-0.04246710196934077,0.2727623277992073,-0.042490731041192636,-0.08320642036333412,-0.11781307860474109,-0.04332526515882695,-0.27858166828057135,0.09557169213301353,0.004550020528343746,0.03198775781782055,0.15790219204033668,0.16261587559865154,-0.08648465793274368,-0.05425581040937874,-0.5263280381434051,-0.16451789017075943,0.010924948254519451,-0.07745091717380481,-0.2209134019707093,-0.018503611587810886,0.046144261229733675,-2.346151175798561e-05,0.011410586628783595,-0.11238683278575831,-0.11467082444077992,0.014644668749638184,-0.01258742025790409,1.598195566740152,-0.10383260591196855,-0.043888128649980346,0.13118300631159974,0.40069556842859305,-0.09688794501635449,-0.03505987122409772,0.047742625780697046,0.009978072170218538,-0.19679429740428905,-0.10035321746817787,-0.3495144260209855,-0.07414552499438598,-0.33233394567600627,0.06270067545436003,-0.24146785875590393,-0.11388079152399955,-0.14506169598845833,-0.16373863112078108,0.31145629746379055,0.014176544699023831,8
8,-0.04105549149015404,0.3371441297508011,-0.04043840123524195,-0.0838231861789848,-0.10341237672090987,-0.052455165084678304,-0.2725041194394237,0.10395898899580837,0.0029074755547365827,0.03472016846579755,0.16225323334947894,0.13213979423393035,-0.085071540129467,-0.05126938431006994,-0.524766654331152,-0.16903656281310647,0.006963841911653355,-0.056169818105825844,-0.2195045615308534,-0.017032642578082985,0.04561223400217909,-0.018396557079913042,0.011279194102389194,-0.11507890435663226,-0.12219329608670843,0.06676001214946309,-0.01051680823967441,1.490805179954639,-0.10746209122978462,-0.048091265387151666,0.14867783378179655,0.4138854695583018,-0.10014649561382578,-0.03538346498995126,0.041194748404570894,0.011449954814950952,-0.2001224297170413,-0.09636050361482676,-0.350467473031572,-0.07807027290151809,-0.3488838864967253,0.059125716583573344,-0.2391044377897225,-0.10748591403298924,-0.14951255083091033,-0.13987954951670162,0.21827475423478693,0.014948220802333934,9
9,-0.04011995993299713,0.3720782367821691,-0.03754443649878661,-0.08247401806093213,-0.08845507311246434,-0.06513586829092252,-0.26793589799349754,0.11210333356226351,0.0017561470798259232,0.03330972115699954,0.16507995967652594,0.10876550725372683,-0.08534765044286877,-0.050183335827583386,-0.5223386470560976,-0.17332188456476127,4.027788317248482e-05,-0.022553375056004757,-0.21553668562363,-0.015946601509801123,0.04265593128427603,-0.03715632775502482,0.011898088742334008,-0.11726257001721174,-0.12648611205044363,0.11322803907081935,-0.004413772815423456,1.3291246352163273,-0.11071867575240307,-0.050269498358343656,0.16735409325436265,0.4248979434348119,-0.09941677524695224,-0.03144100506241354,0.03624902463578434,0.013770662731201783,-0.20349489865729764,-0.09144309391733876,-0.3516156709173527,-0.07107973382005793,-0.36386149718471783,0.055691722602266513,-0.23837135164533801,-0.09958877795341031,-0.1496083523315957,-0.12322734440813934,0.13498855993306277,0.015535873325595737,10
